序号,专项,报警编号,报警等级,现场工作人员核实-是否误报,综合研判-误报,研判备注,现场核实内容,报警状态,监测指标,设备标识码,设备名称,设施名称,报警生成时间,初次报警时间,初次报警值,报警阈值,当前报警值,报警核实时间,操作人员,报警处置时间,处置内容,操作人员.1,消警时间,消警内容,回复附件,初次报警时间.1,报警前10次推送值,推送时间10,报警前9次推送值,推送时间9,报警前8次推送值,推送时间8,报警前7次推送值,推送时间7,报警前6次推送值,推送时间6,报警前5次推送值,推送时间5,报警前4次推送值,推送时间4,报警前3次推送值,推送时间3,报警前2次推送值,推送时间2,报警前1次推送值,推送时间1,报警后1次推送值,推送时间2-1,报警后2次推送值,推送时间2-2,报警后3次推送值,推送时间2-3,报警后4次推送值,推送时间2-4,报警后5次推送值,推送时间2-5,报警后6次推送值,推送时间2-6,报警后7次推送值,推送时间2-7,报警后8次推送值,推送时间2-8,报警后9次推送值,推送时间2-9,报警后10次推送值,推送时间2-10
377,燃气爆炸,RQ011872412309339664386,1,是,无法判断,,误报警,消警,RQ0101,1000000000000264827,2#3#LNG卸车柱可燃气体浓度#可燃气体浓度,苏州-公司场站,2024-12-27 06:41:01,2024-12-27 06:35:03,3.6965774e+19,80.0,3.6965774e+19,2024-12-27 07:28:19,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],http://121.236.214.143:18081/prod-minio/urbanlifeline-file/润工作3.020241227-072654_1735255683656.jpg,2024-12-27 06:35:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03
378,燃气爆炸,RQ011872412310228828163,3,否,非误报,设备调试,设备维护,消警,RQ0101,1000000000000264866,1#储罐可燃气体浓度#可燃气体浓度,苏州-公司场站,2024-12-27 06:41:01,2024-12-27 06:35:03,2.822266,0.0,2.822266,2024-12-27 08:31:14,17625532019,2024-12-27 10:30:31,设备维护,17625532019,2024-12-27 11:53:58,设备维护,http://121.236.214.143:18081/prod-minio/urbanlifeline-file/润工作3.020241227-072654_1735255637148.jpg,2024-12-27 06:35:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03
379,燃气爆炸,RQ011872412160035024899,3,否,非误报,设备调试,设备维护,消警,RQ0101,1000000000000264872,7#储罐可燃气体浓度#可燃气体浓度,苏州-公司场站,2024-12-27 06:41:00,2024-12-27 06:35:03,2.787109,0.0,2.787109,2024-12-27 08:24:29,17625532019,2024-12-27 10:06:04,设备维护,17625532019,2024-12-27 11:35:20,设备维护,http://121.236.214.143:18081/prod-minio/urbanlifeline-file/润工作3.020241227-072654_1735256242735.jpg,2024-12-27 06:35:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,2.787109,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03
380,燃气爆炸,RQ011872412160454434818,3,否,非误报,设备调试,设备维护,消警,RQ0101,1000000000000264868,3#储罐可燃气体浓度#可燃气体浓度,苏州-公司场站,2024-12-27 06:41:00,2024-12-27 06:35:03,2.494141,0.0,2.494141,2024-12-27 08:03:15,17625532019,2024-12-27 09:03:31,设备维护,17625532019,2024-12-27 10:33:13,设备维护,http://121.236.214.143:18081/prod-minio/urbanlifeline-file/润工作3.020241227-072654_1735256221353.jpg,2024-12-27 06:35:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,2.494141,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03
381,燃气爆炸,RQ011872412160689373187,3,否,非误报,设备调试,设备维护,消警,RQ0101,1000000000000264843,锅炉可燃气体二#可燃气体浓度,苏州-公司场站,2024-12-27 06:41:00,2024-12-27 06:35:03,0.818359,0.0,0.818359,2024-12-27 08:09:24,17625532019,2024-12-27 10:09:20,设备维护,17625532019,2024-12-27 11:29:43,设备维护,http://121.236.214.143:18081/prod-minio/urbanlifeline-file/润工作3.020241227-073153_1735256198357.jpg,2024-12-27 06:35:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.818359,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03
382,燃气爆炸,RQ011872412161817575429,1,是,无法判断,,误报警,消警,RQ0101,1000000000000264871,6#储罐可燃气体浓度#可燃气体浓度,苏州-公司场站,2024-12-27 06:41:00,2024-12-27 06:35:03,3.6965766e+19,80.0,3.6965766e+19,2024-12-27 07:36:20,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],http://121.236.214.143:18081/prod-minio/urbanlifeline-file/润工作3.020241227-072654_1735256172355.jpg,2024-12-27 06:35:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,3.6965766e+19,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03
383,燃气爆炸,RQ011872412162237034501,3,否,非误报,设备调试,设备维护,消警,RQ0101,1000000000000264829,储罐增压器可燃气体浓度#可燃气体浓度,苏州-公司场站,2024-12-27 06:41:00,2024-12-27 06:35:03,2.546875,0.0,2.546875,2024-12-27 08:25:27,17625532019,2024-12-27 10:08:33,设备维护,17625532019,2024-12-27 12:05:10,设备维护,http://121.236.214.143:18081/prod-minio/urbanlifeline-file/润工作3.020241227-072654_1735256143049.jpg,2024-12-27 06:35:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,2.546875,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03
384,燃气爆炸,RQ011872412162308337666,1,否,非误报,设备调试,设备调试,消警,RQ0101,1000000000000264841,3#次高压调压计量撬可燃气体浓度#可燃气体浓度,苏州-公司场站,2024-12-27 06:41:00,2024-12-27 06:35:03,191.875,80.0,191.875,2024-12-27 07:58:52,17625532019,2024-12-27 09:19:23,设备调试,17625532019,2024-12-27 10:50:38,设备调试,http://121.236.214.143:18081/prod-minio/urbanlifeline-file/润工作3.020241227-073153_1735256095916.jpg,2024-12-27 06:35:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,191.875,2024-12-27 06:35:03
385,燃气爆炸,RQ011872412281426571266,3,否,非误报,设备调试,设备维护,消警,RQ0101,1000000000000264870,5#储罐可燃气体浓度#可燃气体浓度,苏州-公司场站,2024-12-27 06:41:00,2024-12-27 06:35:03,2.927734,0.0,2.927734,2024-12-27 08:33:47,17625532019,2024-12-27 09:57:21,设备维护,17625532019,2024-12-27 11:25:48,设备维护,http://121.236.214.143:18081/prod-minio/urbanlifeline-file/润工作3.020241227-072654_1735256066291.jpg,2024-12-27 06:35:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,2.927734,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03
386,燃气爆炸,RQ011872412299948617732,3,否,非误报,设备调试,设备维护,消警,RQ0101,1000000000000264837,水浴式复热器可燃气体浓度#可燃气体浓度,苏州-公司场站,2024-12-27 06:41:00,2024-12-27 06:35:03,0.378906,0.0,0.378906,2024-12-27 07:35:20,17625532019,2024-12-27 08:48:35,设备维护,17625532019,2024-12-27 10:08:24,设备维护,http://121.236.214.143:18081/prod-minio/urbanlifeline-file/润工作3.020241227-073153_1735255928534.jpg,2024-12-27 06:35:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:05:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.378906,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03,0.0,2024-12-27 06:35:03
387,燃气爆炸,RQ011872291339803164673,3,否,非误报,设备调试,设备维护,消警,RQ0101,1000000000000262399,1#探头#可燃气体浓度,苏州-金山路LNG,2024-12-26 22:41:00,2024-12-26 22:35:02,3.7,0.0,3.7,2024-12-26 23:42:44,17625532019,2024-12-27 01:27:54,设备维护,17625532019,2024-12-27 03:13:39,设备维护,http://121.236.214.143:18081/prod-minio/urbanlifeline-file/润工作3.020241226-230057_1735225272169.jpg,2024-12-26 22:35:02,0.0,2024-12-26 22:05:03,0.0,2024-12-26 22:05:03,0.0,2024-12-26 22:05:03,0.0,2024-12-26 22:05:03,0.0,2024-12-26 22:05:03,0.0,2024-12-26 22:05:03,0.0,2024-12-26 22:05:03,0.0,2024-12-26 22:05:03,0.0,2024-12-26 22:05:03,0.0,2024-12-26 22:05:03,0.0,2024-12-26 22:35:02,0.0,2024-12-26 22:35:02,0.0,2024-12-26 22:35:02,0.0,2024-12-26 22:35:02,0.0,2024-12-26 22:35:02,0.0,2024-12-26 22:35:02,0.0,2024-12-26 22:35:02,0.0,2024-12-26 22:35:02,3.7,2024-12-26 22:35:02,0.0,2024-12-26 22:35:02
388,燃气爆炸,RQ011872125225370619906,3,否,非误报,设备调试,设备维护,消警,RQ0101,1000000000000262401,3#探头#可燃气体浓度,苏州-金山路LNG,2024-12-26 11:41:00,2024-12-26 11:35:04,5.3,0.0,5.3,2024-12-26 13:23:42,13915435764,2024-12-26 14:37:39,设备维护,13915435764,2024-12-26 15:55:51,设备维护,http://121.236.214.143:18081/prod-minio/urbanlifeline-file/20241226-121159_1735186337570.jpg,2024-12-26 11:35:04,0.0,2024-12-26 11:07:43,0.0,2024-12-26 11:07:43,0.0,2024-12-26 11:07:43,0.0,2024-12-26 11:07:43,0.0,2024-12-26 11:07:43,0.0,2024-12-26 11:07:43,0.0,2024-12-26 11:07:43,0.0,2024-12-26 11:07:43,0.0,2024-12-26 11:07:43,0.0,2024-12-26 11:07:43,5.3,2024-12-26 11:35:04,0.0,2024-12-26 11:35:04,0.0,2024-12-26 11:35:04,0.0,2024-12-26 11:35:04,0.0,2024-12-26 11:35:04,0.0,2024-12-26 11:35:04,0.0,2024-12-26 11:35:04,0.0,2024-12-26 11:35:04,0.0,2024-12-26 12:52:11,0.0,2024-12-26 12:52:11
389,燃气爆炸,RQ011872095270830022658,2,否,非误报,设备调试,设备维护,消警,RQ0101,1000000000000262400,2#探头#可燃气体浓度,苏州-金山路LNG,2024-12-26 09:42:00,2024-12-26 09:35:02,32.9,20.0,32.9,2024-12-26 11:22:55,13915435764,2024-12-26 12:38:21,设备维护,13915435764,2024-12-26 14:01:08,设备维护,"http://121.236.214.143:18081/prod-minio/urbanlifeline-file/20241226-094713_1735177769973.jpg,http://121.236.214.143:18081/prod-minio/urbanlifeline-file/20241226-094725_1735177775927.jpg",2024-12-26 09:35:02,0.0,2024-12-26 09:05:02,0.0,2024-12-26 09:05:02,0.0,2024-12-26 09:05:02,0.0,2024-12-26 09:05:02,0.0,2024-12-26 09:05:02,0.0,2024-12-26 09:05:02,0.0,2024-12-26 09:05:02,0.0,2024-12-26 09:05:02,0.0,2024-12-26 09:05:02,0.0,2024-12-26 09:05:02,0.0,2024-12-26 09:35:02,0.0,2024-12-26 09:35:02,32.9,2024-12-26 09:35:02,0.0,2024-12-26 09:35:02,0.0,2024-12-26 09:35:02,0.0,2024-12-26 09:35:02,0.0,2024-12-26 09:35:02,0.0,2024-12-26 09:35:02,0.0,2024-12-26 09:35:02,0.0,2024-12-26 09:35:02
390,燃气爆炸,RQ011872095323023900673,2,否,非误报,设备调试,设备维护,消警,RQ0101,1000000000000262395,5#探头#可燃气体浓度,苏州-金山路LNG,2024-12-26 09:42:00,2024-12-26 09:35:02,24.7,20.0,24.7,2024-12-26 10:56:47,13915435764,2024-12-26 11:57:32,设备维护,13915435764,2024-12-26 13:13:45,设备维护,"http://121.236.214.143:18081/prod-minio/urbanlifeline-file/20241226-094713_1735177674360.jpg,http://121.236.214.143:18081/prod-minio/urbanlifeline-file/20241226-094725_1735177680533.jpg",2024-12-26 09:35:02,0.0,2024-12-26 09:05:02,0.0,2024-12-26 09:05:02,0.0,2024-12-26 09:05:02,0.0,2024-12-26 09:05:02,0.0,2024-12-26 09:05:02,0.0,2024-12-26 09:05:02,0.0,2024-12-26 09:05:02,0.0,2024-12-26 09:05:02,0.0,2024-12-26 09:05:02,0.0,2024-12-26 09:05:02,0.0,2024-12-26 09:35:02,24.7,2024-12-26 09:35:02,0.0,2024-12-26 09:35:02,0.0,2024-12-26 09:35:02,0.0,2024-12-26 09:35:02,0.0,2024-12-26 09:35:02,0.0,2024-12-26 09:35:02,0.0,2024-12-26 09:35:02,0.0,2024-12-26 09:35:02,0.0,2024-12-26 09:35:02
391,燃气爆炸,RQ011872012032895787010,3,否,非误报,设备调试,设备维护,消警,RQ0101,1000000000000262401,3#探头#可燃气体浓度,苏州-金山路LNG,2024-12-26 04:11:00,2024-12-26 04:05:03,6.1,0.0,6.1,2024-12-26 05:59:21,13962105521,2024-12-26 07:38:45,设备维护,13962105521,2024-12-26 09:18:34,设备维护,http://121.236.214.143:18081/prod-minio/urbanlifeline-file/微信截图_20241226083109_1735173136974.jpg,2024-12-26 04:05:03,0.0,2024-12-26 03:35:03,0.0,2024-12-26 03:35:03,0.0,2024-12-26 03:35:03,0.0,2024-12-26 03:35:03,0.0,2024-12-26 03:35:03,0.0,2024-12-26 03:35:03,0.0,2024-12-26 03:35:03,0.0,2024-12-26 03:35:03,0.0,2024-12-26 03:35:03,0.0,2024-12-26 03:35:03,0.0,2024-12-26 04:05:03,0.0,2024-12-26 04:05:03,0.0,2024-12-26 04:05:03,0.0,2024-12-26 04:05:03,0.0,2024-12-26 04:05:03,0.0,2024-12-26 04:05:03,0.0,2024-12-26 04:05:03,0.0,2024-12-26 04:05:03,0.0,2024-12-26 04:05:03,0.0,2024-12-26 04:05:03
392,燃气爆炸,RQ011871745202025287683,2,否,非误报,设备调试,设备维护,消警,RQ0101,91107150300000000000000000000000,高压阀井泄漏探测,江城大道高压主阀井-平横公路口,2024-12-25 10:31:00,2024-12-25 10:30:04,76.0,20.0,76.0,2024-12-25 12:20:39,13771655029,2024-12-25 13:38:55,设备维护,13771655029,2024-12-25 15:03:11,设备维护,http://121.236.214.143:18081/prod-minio/urbanlifeline-file/阀门检测1_1735096290352.jpg,2024-12-25 10:30:04,76.0,2024-12-25 09:31:37,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,76.0,2024-12-25 11:08:53,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
393,燃气爆炸,RQ011871730490575294465,2,否,非误报,设备调试,设备维护,消警,RQ0101,91107150300000000000000000000000,高压阀井泄漏探测,江城大道高压主阀井-平横公路口,2024-12-25 09:32:00,2024-12-25 09:31:37,76.0,20.0,76.0,2024-12-25 11:08:12,13771655029,2024-12-25 12:14:06,设备维护,13771655029,2024-12-25 14:12:43,设备维护,http://121.236.214.143:18081/prod-minio/urbanlifeline-file/阀门检测_1735091025711.jpg,2024-12-25 09:31:37,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,76.0,2024-12-25 10:30:04,76.0,2024-12-25 11:08:53,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
394,燃气爆炸,RQ011869878882983874564,1,否,非误报,设备调试,设备调试,消警,RQ0101,1000000000000264828,1#2#LNG卸车柱可燃气体浓度#可燃气体浓度,苏州-公司场站,2024-12-20 06:55:00,2024-12-20 06:35:03,161.11975,80.0,161.11975,2024-12-20 07:41:17,13862596414,2024-12-20 09:26:42,设备调试,13862596414,2024-12-20 10:28:37,设备调试,http://121.236.214.143:18081/prod-minio/urbanlifeline-file/润工作3.020241220-072300_1734650752139.jpg,2024-12-20 06:35:03,0.0,2024-12-20 06:05:02,0.0,2024-12-20 06:05:02,0.0,2024-12-20 06:05:02,0.0,2024-12-20 06:05:02,0.0,2024-12-20 06:05:02,0.0,2024-12-20 06:05:02,0.0,2024-12-20 06:05:02,0.0,2024-12-20 06:05:02,0.0,2024-12-20 06:05:02,0.0,2024-12-20 06:05:02,0.0,2024-12-20 06:35:03,0.0,2024-12-20 06:35:03,0.0,2024-12-20 06:35:03,0.0,2024-12-20 06:35:03,0.0,2024-12-20 06:35:03,0.0,2024-12-20 06:35:03,0.0,2024-12-20 06:35:03,0.0,2024-12-20 06:35:03,0.0,2024-12-20 06:35:03,0.0,2024-12-20 06:35:03
395,燃气爆炸,RQ011869878884699357185,1,否,非误报,设备调试,设备调试,消警,RQ0101,1000000000000264831,1#2#LNG汽化器可燃气体浓度#可燃气体浓度,苏州-公司场站,2024-12-20 06:55:00,2024-12-20 06:35:03,164.91228,80.0,164.91228,2024-12-20 08:25:33,13862596414,2024-12-20 10:10:05,设备调试,13862596414,2024-12-20 12:00:27,设备调试,http://121.236.214.143:18081/prod-minio/urbanlifeline-file/润工作3.020241220-072300_1734650721795.jpg,2024-12-20 06:35:03,0.0,2024-12-20 06:05:02,0.0,2024-12-20 06:05:02,0.0,2024-12-20 06:05:02,0.0,2024-12-20 06:05:02,0.0,2024-12-20 06:05:02,0.0,2024-12-20 06:05:02,0.0,2024-12-20 06:05:02,0.0,2024-12-20 06:05:02,0.0,2024-12-20 06:05:02,0.0,2024-12-20 06:05:02,0.0,2024-12-20 06:35:03,0.0,2024-12-20 06:35:03,0.0,2024-12-20 06:35:03,0.0,2024-12-20 06:35:03,0.0,2024-12-20 06:35:03,0.0,2024-12-20 06:35:03,0.0,2024-12-20 06:35:03,0.0,2024-12-20 06:35:03,0.0,2024-12-20 06:35:03,0.0,2024-12-20 06:35:03
396,燃气爆炸,RQ011869878916685119490,3,否,非误报,设备调试,设备维护,消警,RQ0101,1000000000000264833,5#6#LNG汽化器可燃气体浓度#可燃气体浓度,苏州-公司场站,2024-12-20 06:55:00,2024-12-20 06:35:03,0.615383,0.0,0.615383,2024-12-20 07:47:57,13862596414,2024-12-20 09:01:27,设备维护,13862596414,2024-12-20 10:25:14,设备维护,http://121.236.214.143:18081/prod-minio/urbanlifeline-file/润工作3.020241220-072300_1734650697239.jpg,2024-12-20 06:35:03,0.0,2024-12-20 06:05:02,0.0,2024-12-20 06:05:02,0.0,2024-12-20 06:05:02,0.0,2024-12-20 06:05:02,0.0,2024-12-20 06:05:02,0.0,2024-12-20 06:05:02,0.0,2024-12-20 06:05:02,0.0,2024-12-20 06:05:02,0.0,2024-12-20 06:05:02,0.0,2024-12-20 06:05:02,0.0,2024-12-20 06:35:03,0.0,2024-12-20 06:35:03,0.0,2024-12-20 06:35:03,0.0,2024-12-20 06:35:03,0.0,2024-12-20 06:35:03,0.0,2024-12-20 06:35:03,0.0,2024-12-20 06:35:03,0.0,2024-12-20 06:35:03,0.0,2024-12-20 06:35:03,0.0,2024-12-20 06:35:03
397,燃气爆炸,RQ011869878917037441027,1,否,非误报,设备调试,设备调试,消警,RQ0101,1000000000000264839,1#调压计量撬可燃气体浓度#可燃气体浓度,苏州-公司场站,2024-12-20 06:55:00,2024-12-20 06:35:03,307.06277,80.0,307.06277,2024-12-20 08:31:20,13862596414,2024-12-20 09:46:31,设备调试,13862596414,2024-12-20 10:52:25,设备调试,http://121.236.214.143:18081/prod-minio/urbanlifeline-file/润工作3.020241220-072258_1734650671589.jpg,2024-12-20 06:35:03,0.0,2024-12-20 06:05:02,0.0,2024-12-20 06:05:02,0.0,2024-12-20 06:05:02,0.0,2024-12-20 06:05:02,0.0,2024-12-20 06:05:02,0.0,2024-12-20 06:05:02,0.0,2024-12-20 06:05:02,0.0,2024-12-20 06:05:02,0.0,2024-12-20 06:05:02,0.0,2024-12-20 06:05:02,0.0,2024-12-20 06:35:03,0.0,2024-12-20 06:35:03,0.0,2024-12-20 06:35:03,0.0,2024-12-20 06:35:03,0.0,2024-12-20 06:35:03,0.0,2024-12-20 06:35:03,0.0,2024-12-20 06:35:03,0.0,2024-12-20 06:35:03,0.0,2024-12-20 06:35:03,0.0,2024-12-20 06:35:03
398,燃气爆炸,RQ011869878917050011650,1,否,非误报,设备调试,设备调试,消警,RQ0101,1000000000000264872,7#储罐可燃气体浓度#可燃气体浓度,苏州-公司场站,2024-12-20 06:55:00,2024-12-20 06:35:03,656.622,80.0,656.622,2024-12-20 07:56:59,13862596414,2024-12-20 09:34:06,设备调试,13862596414,2024-12-20 10:42:34,设备调试,http://121.236.214.143:18081/prod-minio/urbanlifeline-file/润工作3.020241220-072300_1734650613626.jpg,2024-12-20 06:35:03,0.0,2024-12-20 06:05:02,0.0,2024-12-20 06:05:02,0.0,2024-12-20 06:05:02,0.0,2024-12-20 06:05:02,0.0,2024-12-20 06:05:02,0.0,2024-12-20 06:05:02,0.0,2024-12-20 06:05:02,0.0,2024-12-20 06:05:02,0.0,2024-12-20 06:05:02,0.0,2024-12-20 06:05:02,0.0,2024-12-20 06:35:03,0.0,2024-12-20 06:35:03,0.0,2024-12-20 06:35:03,0.0,2024-12-20 06:35:03,0.0,2024-12-20 06:35:03,0.0,2024-12-20 06:35:03,0.0,2024-12-20 06:35:03,0.0,2024-12-20 06:35:03,0.0,2024-12-20 06:35:03,0.0,2024-12-20 06:35:03
399,燃气爆炸,RQ011869878860276031490,1,否,非误报,设备调试,设备调试,消警,RQ0101,1000000000000264843,锅炉可燃气体二#可燃气体浓度,苏州-公司场站,2024-12-20 06:54:00,2024-12-20 06:35:03,174.17323,80.0,174.17323,2024-12-20 08:08:49,13862596414,2024-12-20 09:59:54,设备调试,13862596414,2024-12-20 11:36:31,设备调试,http://121.236.214.143:18081/prod-minio/urbanlifeline-file/润工作3.020241220-072258_1734650770884.jpg,2024-12-20 06:35:03,0.0,2024-12-20 06:05:02,0.0,2024-12-20 06:05:02,0.0,2024-12-20 06:05:02,0.0,2024-12-20 06:05:02,0.0,2024-12-20 06:05:02,0.0,2024-12-20 06:05:02,0.0,2024-12-20 06:05:02,0.0,2024-12-20 06:05:02,0.0,2024-12-20 06:05:02,0.0,2024-12-20 06:05:02,0.0,2024-12-20 06:35:03,0.0,2024-12-20 06:35:03,0.0,2024-12-20 06:35:03,0.0,2024-12-20 06:35:03,0.0,2024-12-20 06:35:03,0.0,2024-12-20 06:35:03,0.0,2024-12-20 06:35:03,0.0,2024-12-20 06:35:03,0.0,2024-12-20 06:35:03,0.0,2024-12-20 06:35:03
